series_id	seasonal	category_code	subcategory_code	item_code	demographics_code	characteristics_code	process_code	series_title	footnote_codes	begin_year	begin_period	end_year	end_period
CXU080110LB0401M              	U	EXPEND	FOODTOTL	080110	LB04	01	M	Eggs-LB04-All Consumer Units	          	1984	A01	2013	A01
CXU080110LB0402M              	U	EXPEND	FOODTOTL	080110	LB04	02	M	Eggs-LB04-Reference person under age 25	          	1984	A01	2013	A01
CXU080110LB0403M              	U	EXPEND	FOODTOTL	080110	LB04	03	M	Eggs-LB04-Reference person between age 25 and 34	          	1984	A01	2013	A01
CXU080110LB0404M              	U	EXPEND	FOODTOTL	080110	LB04	04	M	Eggs-LB04-Reference person between age 35 and 44	          	1984	A01	2013	A01
CXU080110LB0405M              	U	EXPEND	FOODTOTL	080110	LB04	05	M	Eggs-LB04-Reference person between age 45 and 54	          	1984	A01	2013	A01
CXU080110LB0406M              	U	EXPEND	FOODTOTL	080110	LB04	06	M	Eggs-LB04-Reference person between age 55 and 64	          	1984	A01	2013	A01
CXU080110LB0407M              	U	EXPEND	FOODTOTL	080110	LB04	07	M	Eggs-LB04-Reference person over age 65	          	1988	A01	2013	A01
CXU080110LB0408M              	U	EXPEND	FOODTOTL	080110	LB04	08	M	Eggs-LB04-Reference person between age 65 and 74	          	1984	A01	2013	A01
CXU080110LB0409M              	U	EXPEND	FOODTOTL	080110	LB04	09	M	Eggs-LB04-Reference person over the age of 75	          	1984	A01	2013	A01
CXU080110LB0501M              	U	EXPEND	FOODTOTL	080110	LB05	01	M	Eggs-LB05-All Consumer Units	          	1984	A01	2013	A01
CXU080110LB0502M              	U	EXPEND	FOODTOTL	080110	LB05	02	M	Eggs-LB05-One person consumer unit	          	1984	A01	2013	A01
CXU080110LB0503M              	U	EXPEND	FOODTOTL	080110	LB05	03	M	Eggs-LB05-Two or more people in consumer unit	          	1988	A01	2013	A01
CXU080110LB0504M              	U	EXPEND	FOODTOTL	080110	LB05	04	M	Eggs-LB05-Two people in consumer unit	          	1984	A01	2013	A01
CXU080110LB0505M              	U	EXPEND	FOODTOTL	080110	LB05	05	M	Eggs-LB05-Three people in consumer unit	          	1984	A01	2013	A01
CXU080110LB0506M              	U	EXPEND	FOODTOTL	080110	LB05	06	M	Eggs-LB05-Four people in consumer unit	          	1984	A01	2013	A01
CXU080110LB0507M              	U	EXPEND	FOODTOTL	080110	LB05	07	M	Eggs-LB05-Five or more people in consumer unit	          	1988	A01	2013	A01
CXU080110LB05A1M              	U	EXPEND	FOODTOTL	080110	LB05	A1	M	Eggs-LB05-Five people in consumer unit	          	1984	A01	1987	A01
CXU080110LB05A2M              	U	EXPEND	FOODTOTL	080110	LB05	A2	M	Eggs-LB05-Six or more people in consumer unit	          	1984	A01	1987	A01
CXU080110LB0601M              	U	EXPEND	FOODTOTL	080110	LB06	01	M	Eggs-LB06-Total husband and wife consumer units	          	1984	A01	2013	A01
CXU080110LB0602M              	U	EXPEND	FOODTOTL	080110	LB06	02	M	Eggs-LB06-Husband and wife only consumer units	          	1984	A01	2013	A01
CXU080110LB0603M              	U	EXPEND	FOODTOTL	080110	LB06	03	M	Eggs-LB06-Total husband and wife with children cons. units	          	1988	A01	2013	A01
CXU080110LB0604M              	U	EXPEND	FOODTOTL	080110	LB06	04	M	Eggs-LB06-Husband and wife w/ children, oldest child under 6	          	1984	A01	2013	A01
CXU080110LB0605M              	U	EXPEND	FOODTOTL	080110	LB06	05	M	Eggs-LB06-Husband and wife w/ children, oldest child 6 to 17	          	1984	A01	2013	A01
CXU080110LB0606M              	U	EXPEND	FOODTOTL	080110	LB06	06	M	Eggs-LB06-Husband & wife w/ children, old. child 18 or over	          	1984	A01	2013	A01
CXU080110LB0607M              	U	EXPEND	FOODTOTL	080110	LB06	07	M	Eggs-LB06-Other husband and wife consumer units	          	1984	A01	2013	A01
CXU080110LB0608M              	U	EXPEND	FOODTOTL	080110	LB06	08	M	Eggs-LB06-One parent, at least one child under 18	          	1984	A01	2013	A01
CXU080110LB0609M              	U	EXPEND	FOODTOTL	080110	LB06	09	M	Eggs-LB06-Single person and other consumer units	          	1984	A01	2013	A01
CXU080110LB0701M              	U	EXPEND	FOODTOTL	080110	LB07	01	M	Eggs-LB07-All Consumer Units	          	1984	A01	2013	A01
CXU080110LB0702M              	U	EXPEND	FOODTOTL	080110	LB07	02	M	Eggs-LB07-Single Consumers, no earner	          	1984	A01	2013	A01
CXU080110LB0703M              	U	EXPEND	FOODTOTL	080110	LB07	03	M	Eggs-LB07-Single Consumers, one earner	          	1984	A01	2013	A01
CXU080110LB0704M              	U	EXPEND	FOODTOTL	080110	LB07	04	M	Eggs-LB07-Consumer units of two or more people, no earners	          	1984	A01	2013	A01
CXU080110LB0705M              	U	EXPEND	FOODTOTL	080110	LB07	05	M	Eggs-LB07-CUs of two or more people, one earner	          	1984	A01	2013	A01
CXU080110LB0706M              	U	EXPEND	FOODTOTL	080110	LB07	06	M	Eggs-LB07-CUs of two or more people, two earners	          	1984	A01	2013	A01
CXU080110LB0707M              	U	EXPEND	FOODTOTL	080110	LB07	07	M	Eggs-LB07-CUs of two or more people, three or more earners	          	1984	A01	2013	A01
CXU080110LB0801M              	U	EXPEND	FOODTOTL	080110	LB08	01	M	Eggs-LB08-All Consumer Units	          	1984	A01	2013	A01
CXU080110LB0802M              	U	EXPEND	FOODTOTL	080110	LB08	02	M	Eggs-LB08-Housing tenure: home owner	          	1984	A01	2013	A01
CXU080110LB0803M              	U	EXPEND	FOODTOTL	080110	LB08	03	M	Eggs-LB08-Housing tenure: homeowner with mortgage(from 2003)	          	2003	A01	2013	A01
CXU080110LB0804M              	U	EXPEND	FOODTOTL	080110	LB08	04	M	Eggs-LB08-Housing tenure: homeowner w/o mortgage(from 2003)	          	2003	A01	2013	A01
CXU080110LB0805M              	U	EXPEND	FOODTOTL	080110	LB08	05	M	Eggs-LB08-Housing tenure: renter	          	1984	A01	2013	A01
CXU080110LB0806M              	U	EXPEND	FOODTOTL	080110	LB08	06	M	Eggs-LB08-Type of area: urban	          	1984	A01	2013	A01
CXU080110LB0807M              	U	EXPEND	FOODTOTL	080110	LB08	07	M	Eggs-LB08-Type of area: urban: central city(from 2003)	          	2003	A01	2013	A01
CXU080110LB0808M              	U	EXPEND	FOODTOTL	080110	LB08	08	M	Eggs-LB08-Type of area: urban: other urban(from 2003)	          	2003	A01	2013	A01
CXU080110LB0809M              	U	EXPEND	FOODTOTL	080110	LB08	09	M	Eggs-LB08-Type of area: rural	          	1984	A01	2013	A01
CXU080110LB0901M              	U	EXPEND	FOODTOTL	080110	LB09	01	M	Eggs-LB09-All Consumer Units	          	1984	A01	2013	A01
CXU080110LB0902M              	U	EXPEND	FOODTOTL	080110	LB09	02	M	Eggs-LB09-Race of ref. person: White, Asian, and All Others	          	1984	A01	2013	A01
CXU080110LB0903M              	U	EXPEND	FOODTOTL	080110	LB09	03	M	Eggs-LB09-Race of rf. pers.: White and All Others(from 2003)	          	2003	A01	2013	A01
CXU080110LB0904M              	U	EXPEND	FOODTOTL	080110	LB09	04	M	Eggs-LB09-Race of reference person: Asian(from 2003)	          	2003	A01	2013	A01
CXU080110LB0905M              	U	EXPEND	FOODTOTL	080110	LB09	05	M	Eggs-LB09-Race of ref. person: Black or African American	          	1984	A01	2013	A01
CXU080110LB1001M              	U	EXPEND	FOODTOTL	080110	LB10	01	M	Eggs-LB10-All Consumer Units	          	1984	A01	2013	A01
CXU080110LB1002M              	U	EXPEND	FOODTOTL	080110	LB10	02	M	Eggs-LB10-Origin of reference person: Hispanic or Latino	          	1994	A01	2013	A01
CXU080110LB1003M              	U	EXPEND	FOODTOTL	080110	LB10	03	M	Eggs-LB10-Origin of reference person: Not Hispanic or Latino	          	1994	A01	2013	A01
CXU080110LB1004M              	U	EXPEND	FOODTOTL	080110	LB10	04	M	Eggs-LB10-Not Hispanic or Latino: White and All Other Races	          	2003	A01	2013	A01
CXU080110LB1005M              	U	EXPEND	FOODTOTL	080110	LB10	05	M	Eggs-LB10-Not Hispanic or Latino: Black or African-American	          	2003	A01	2013	A01
CXU080110LB1101M              	U	EXPEND	FOODTOTL	080110	LB11	01	M	Eggs-LB11-All Consumer Units	          	1984	A01	2013	A01
CXU080110LB1102M              	U	EXPEND	FOODTOTL	080110	LB11	02	M	Eggs-LB11-Region of residence: northeast	          	1984	A01	2013	A01
CXU080110LB1103M              	U	EXPEND	FOODTOTL	080110	LB11	03	M	Eggs-LB11-Region of residence: midwest	          	1984	A01	2013	A01
CXU080110LB1104M              	U	EXPEND	FOODTOTL	080110	LB11	04	M	Eggs-LB11-Region of residence: south	          	1984	A01	2013	A01
CXU080110LB1105M              	U	EXPEND	FOODTOTL	080110	LB11	05	M	Eggs-LB11-Region of residence: west	          	1984	A01	2013	A01
CXU080110LB1201M              	U	EXPEND	FOODTOTL	080110	LB12	01	M	Eggs-LB12-Self-employed workers	          	1984	A01	2013	A01
CXU080110LB1202M              	U	EXPEND	FOODTOTL	080110	LB12	02	M	Eggs-LB12-Total wage and salary earners	          	1984	A01	2013	A01
CXU080110LB1203M              	U	EXPEND	FOODTOTL	080110	LB12	03	M	Eggs-LB12-Wage & salary earners: managers and professionals	          	1984	A01	2013	A01
CXU080110LB1204M              	U	EXPEND	FOODTOTL	080110	LB12	04	M	Eggs-LB12-Wage & salary: tech., sales, and clerical workers	          	1984	A01	2013	A01
CXU080110LB1205M              	U	EXPEND	FOODTOTL	080110	LB12	05	M	Eggs-LB12-Wage & salary earners: service workers	          	1984	A01	2013	A01
CXU080110LB1206M              	U	EXPEND	FOODTOTL	080110	LB12	06	M	Eggs-LB12-Wage & salary: construction workers & mechanics	          	1984	A01	2013	A01
CXU080110LB1207M              	U	EXPEND	FOODTOTL	080110	LB12	07	M	Eggs-LB12-Wage & salary: Operators, fabricators & laborers	          	1984	A01	2013	A01
CXU080110LB1208M              	U	EXPEND	FOODTOTL	080110	LB12	08	M	Eggs-LB12-Retired	          	1984	A01	2013	A01
CXU080110LB1209M              	U	EXPEND	FOODTOTL	080110	LB12	09	M	Eggs-LB12-Occupation: all other, including not reporting	          	1984	A01	2013	A01
CXU080110LB1301M              	U	EXPEND	FOODTOTL	080110	LB13	01	M	Eggs-LB13-All Consumer Units	          	1984	A01	2012	A01
CXU080110LB1302M              	U	EXPEND	FOODTOTL	080110	LB13	02	M	Eggs-LB13-Total, less than college graduate	          	1996	A01	2012	A01
CXU080110LB1303M              	U	EXPEND	FOODTOTL	080110	LB13	03	M	Eggs-LB13-Less than high school graduate	          	1995	A01	2012	A01
CXU080110LB1304M              	U	EXPEND	FOODTOTL	080110	LB13	04	M	Eggs-LB13-High school graduate	          	1995	A01	2012	A01
CXU080110LB1305M              	U	EXPEND	FOODTOTL	080110	LB13	05	M	Eggs-LB13-High school graduate with some college	          	1995	A01	2012	A01
CXU080110LB1306M              	U	EXPEND	FOODTOTL	080110	LB13	06	M	Eggs-LB13-Associate degree	          	1996	A01	2012	A01
CXU080110LB1307M              	U	EXPEND	FOODTOTL	080110	LB13	07	M	Eggs-LB13-Total, college graduate	          	1995	A01	2012	A01
CXU080110LB1308M              	U	EXPEND	FOODTOTL	080110	LB13	08	M	Eggs-LB13-Bachelor's degree	          	1996	A01	2012	A01
CXU080110LB1309M              	U	EXPEND	FOODTOTL	080110	LB13	09	M	Eggs-LB13-Master's, professional, doctorate	          	1996	A01	2012	A01
CXU080110LB1401M              	U	EXPEND	FOODTOTL	080110	LB14	01	M	Eggs-LB14-All Consumer Units	          	2012	A01	2013	A01
CXU080110LB1402M              	U	EXPEND	FOODTOTL	080110	LB14	02	M	Eggs-LB14-Less than college graduate: Total	          	2012	A01	2013	A01
CXU080110LB1403M              	U	EXPEND	FOODTOTL	080110	LB14	03	M	Eggs-LB14-Less than college graduate: Less than high school graduate	          	2012	A01	2013	A01
CXU080110LB1404M              	U	EXPEND	FOODTOTL	080110	LB14	04	M	Eggs-LB14-Less than college graduate: High school graduate	          	2012	A01	2013	A01
CXU080110LB1405M              	U	EXPEND	FOODTOTL	080110	LB14	05	M	Eggs-LB14-Less than college graduate: High schoo graduate with some college	          	2012	A01	2013	A01
CXU080110LB1406M              	U	EXPEND	FOODTOTL	080110	LB14	06	M	Eggs-LB14-Less than college graduate: Associate's degree	          	2012	A01	2013	A01
CXU080110LB1407M              	U	EXPEND	FOODTOTL	080110	LB14	07	M	Eggs-LB14-College graduate: Total	          	2012	A01	2013	A01
CXU080110LB1408M              	U	EXPEND	FOODTOTL	080110	LB14	08	M	Eggs-LB14-College graduate: Bachelor's degree	          	2012	A01	2013	A01
CXU080110LB1409M              	U	EXPEND	FOODTOTL	080110	LB14	09	M	Eggs-LB14-College graduate: Master's, professional, doctoral degree	          	2012	A01	2013	A01
CXU190904LB0101M              	U	EXPEND	FOODTOTL	190904	LB01	01	M	Food prep. by consumer unit, out-of-town trips-LB01-All Consumer Units	          	1984	A01	2013	A01
CXU190904LB0102M              	U	EXPEND	FOODTOTL	190904	LB01	02	M	Food prep. by consumer unit, out-of-town trips-LB01-Lowest 20 percent income quintile	          	1984	A01	2013	A01
CXU190904LB0103M              	U	EXPEND	FOODTOTL	190904	LB01	03	M	Food prep. by consumer unit, out-of-town trips-LB01-Second 20 percent income quintile	          	1984	A01	2013	A01
CXU190904LB0104M              	U	EXPEND	FOODTOTL	190904	LB01	04	M	Food prep. by consumer unit, out-of-town trips-LB01-Third 20 percent income quintile	          	1984	A01	2013	A01
CXU190904LB0105M              	U	EXPEND	FOODTOTL	190904	LB01	05	M	Food prep. by consumer unit, out-of-town trips-LB01-Fourth 20 percent income quintile	          	1984	A01	2013	A01
CXU190904LB0106M              	U	EXPEND	FOODTOTL	190904	LB01	06	M	Food prep. by consumer unit, out-of-town trips-LB01-Highest 20 percent income quintile	          	1984	A01	2013	A01
CXU190904LB01A1M              	U	EXPEND	FOODTOTL	190904	LB01	A1	M	Food prep. by consumer unit, out-of-town trips-LB01-Total complete income reporters	          	1984	A01	2003	A01
CXU190904LB01A2M              	U	EXPEND	FOODTOTL	190904	LB01	A2	M	Food prep. by consumer unit, out-of-town trips-LB01-Incomplete income reports	          	1984	A01	2003	A01
CXU190904LB0201M              	U	EXPEND	FOODTOTL	190904	LB02	01	M	Food prep. by consumer unit, out-of-town trips-LB02-All Consumer Units	          	1984	A01	2013	A01
CXU190904LB0202M              	U	EXPEND	FOODTOTL	190904	LB02	02	M	Food prep. by consumer unit, out-of-town trips-LB02-Before tax income of less than $5,000	          	1984	A01	2013	A01
CXU190904LB0203M              	U	EXPEND	FOODTOTL	190904	LB02	03	M	Food prep. by consumer unit, out-of-town trips-LB02-$5,000 to $9,999 before tax income	          	1984	A01	2013	A01
CXU190904LB0204M              	U	EXPEND	FOODTOTL	190904	LB02	04	M	Food prep. by consumer unit, out-of-town trips-LB02-$10,000 to $14,999 before tax income	          	1984	A01	2013	A01
CXU190904LB0205M              	U	EXPEND	FOODTOTL	190904	LB02	05	M	Food prep. by consumer unit, out-of-town trips-LB02-$15,000 to $19,999 before tax income	          	1984	A01	2013	A01
CXU190904LB0206M              	U	EXPEND	FOODTOTL	190904	LB02	06	M	Food prep. by consumer unit, out-of-town trips-LB02-$20,000 to $29,999 before tax income	          	1984	A01	2013	A01
CXU190904LB0207M              	U	EXPEND	FOODTOTL	190904	LB02	07	M	Food prep. by consumer unit, out-of-town trips-LB02-$30,000 to $39,999 before tax income	          	1984	A01	2013	A01
CXU190904LB0208M              	U	EXPEND	FOODTOTL	190904	LB02	08	M	Food prep. by consumer unit, out-of-town trips-LB02-$40,000 to $49,999 before tax income	          	1984	A01	2013	A01
CXU190904LB0209M              	U	EXPEND	FOODTOTL	190904	LB02	09	M	Food prep. by consumer unit, out-of-town trips-LB02-$50,000 to $69,999 before tax income	          	1992	A01	2013	A01
CXU190904LB0210M              	U	EXPEND	FOODTOTL	190904	LB02	10	M	Food prep. by consumer unit, out-of-town trips-LB02-Before tax income of $70,000 and over	          	1992	A01	2013	A01
CXU190904LB0211M              	U	EXPEND	FOODTOTL	190904	LB02	11	M	Food prep. by consumer unit, out-of-town trips-LB02-Before tax income of less than $70,000(from 2003)	          	2003	A01	2013	A01
CXU190904LB0212M              	U	EXPEND	FOODTOTL	190904	LB02	12	M	Food prep. by consumer unit, out-of-town trips-LB02-$70,000 to $79,999 before tax income(from 2003)	          	2003	A01	2013	A01
CXU190904LB0213M              	U	EXPEND	FOODTOTL	190904	LB02	13	M	Food prep. by consumer unit, out-of-town trips-LB02-$80,000 to $99,999 before tax income(from 2003)	          	2003	A01	2013	A01
CXU190904LB0214M              	U	EXPEND	FOODTOTL	190904	LB02	14	M	Food prep. by consumer unit, out-of-town trips-LB02-Before tax income of $100,000 and over(from 2003)	          	2003	A01	2013	A01
CXU190904LB0215M              	U	EXPEND	FOODTOTL	190904	LB02	15	M	Food prep. by consumer unit, out-of-town trips-LB02-$100,000 to $119,999 before tax income(from 2003)	          	2003	A01	2013	A01
CXU190904LB0216M              	U	EXPEND	FOODTOTL	190904	LB02	16	M	Food prep. by consumer unit, out-of-town trips-LB02-$120,000 to $149,999 before tax income(from 2003)	          	2003	A01	2013	A01
CXU190904LB0217M              	U	EXPEND	FOODTOTL	190904	LB02	17	M	Food prep. by consumer unit, out-of-town trips-LB02-Before tax income of $150,000 and over(from 2003)	          	2003	A01	2013	A01
CXU190904LB02A1M              	U	EXPEND	FOODTOTL	190904	LB02	A1	M	Food prep. by consumer unit, out-of-town trips-LB02-Before tax income of $50,000 and over	          	1984	A01	1991	A01
CXU190904LB02A2M              	U	EXPEND	FOODTOTL	190904	LB02	A2	M	Food prep. by consumer unit, out-of-town trips-LB02-Total complete income reporters	          	1984	A01	2003	A01
CXU190904LB0401M              	U	EXPEND	FOODTOTL	190904	LB04	01	M	Food prep. by consumer unit, out-of-town trips-LB04-All Consumer Units	          	1984	A01	2013	A01
CXU190904LB0402M              	U	EXPEND	FOODTOTL	190904	LB04	02	M	Food prep. by consumer unit, out-of-town trips-LB04-Reference person under age 25	          	1984	A01	2013	A01
CXU190904LB0403M              	U	EXPEND	FOODTOTL	190904	LB04	03	M	Food prep. by consumer unit, out-of-town trips-LB04-Reference person between age 25 and 34	          	1984	A01	2013	A01
CXU190904LB0404M              	U	EXPEND	FOODTOTL	190904	LB04	04	M	Food prep. by consumer unit, out-of-town trips-LB04-Reference person between age 35 and 44	          	1984	A01	2013	A01
CXU190904LB0405M              	U	EXPEND	FOODTOTL	190904	LB04	05	M	Food prep. by consumer unit, out-of-town trips-LB04-Reference person between age 45 and 54	          	1984	A01	2013	A01
CXU190904LB0406M              	U	EXPEND	FOODTOTL	190904	LB04	06	M	Food prep. by consumer unit, out-of-town trips-LB04-Reference person between age 55 and 64	          	1984	A01	2013	A01
CXU190904LB0407M              	U	EXPEND	FOODTOTL	190904	LB04	07	M	Food prep. by consumer unit, out-of-town trips-LB04-Reference person over age 65	          	1988	A01	2013	A01
CXU190904LB0408M              	U	EXPEND	FOODTOTL	190904	LB04	08	M	Food prep. by consumer unit, out-of-town trips-LB04-Reference person between age 65 and 74	          	1984	A01	2013	A01
CXU190904LB0409M              	U	EXPEND	FOODTOTL	190904	LB04	09	M	Food prep. by consumer unit, out-of-town trips-LB04-Reference person over the age of 75	          	1984	A01	2013	A01
CXU190904LB0501M              	U	EXPEND	FOODTOTL	190904	LB05	01	M	Food prep. by consumer unit, out-of-town trips-LB05-All Consumer Units	          	1984	A01	2013	A01
CXU190904LB0502M              	U	EXPEND	FOODTOTL	190904	LB05	02	M	Food prep. by consumer unit, out-of-town trips-LB05-One person consumer unit	          	1984	A01	2013	A01
CXU190904LB0503M              	U	EXPEND	FOODTOTL	190904	LB05	03	M	Food prep. by consumer unit, out-of-town trips-LB05-Two or more people in consumer unit	          	1988	A01	2013	A01
CXU190904LB0504M              	U	EXPEND	FOODTOTL	190904	LB05	04	M	Food prep. by consumer unit, out-of-town trips-LB05-Two people in consumer unit	          	1984	A01	2013	A01
CXU190904LB0505M              	U	EXPEND	FOODTOTL	190904	LB05	05	M	Food prep. by consumer unit, out-of-town trips-LB05-Three people in consumer unit	          	1984	A01	2013	A01
CXU190904LB0506M              	U	EXPEND	FOODTOTL	190904	LB05	06	M	Food prep. by consumer unit, out-of-town trips-LB05-Four people in consumer unit	          	1984	A01	2013	A01
CXU190904LB0507M              	U	EXPEND	FOODTOTL	190904	LB05	07	M	Food prep. by consumer unit, out-of-town trips-LB05-Five or more people in consumer unit	          	1988	A01	2013	A01
CXU190904LB05A1M              	U	EXPEND	FOODTOTL	190904	LB05	A1	M	Food prep. by consumer unit, out-of-town trips-LB05-Five people in consumer unit	          	1984	A01	1987	A01
CXU190904LB05A2M              	U	EXPEND	FOODTOTL	190904	LB05	A2	M	Food prep. by consumer unit, out-of-town trips-LB05-Six or more people in consumer unit	          	1984	A01	1987	A01
CXU190904LB0601M              	U	EXPEND	FOODTOTL	190904	LB06	01	M	Food prep. by consumer unit, out-of-town trips-LB06-Total husband and wife consumer units	          	1984	A01	2013	A01
CXU190904LB0602M              	U	EXPEND	FOODTOTL	190904	LB06	02	M	Food prep. by consumer unit, out-of-town trips-LB06-Husband and wife only consumer units	          	1984	A01	2013	A01
CXU190904LB0603M              	U	EXPEND	FOODTOTL	190904	LB06	03	M	Food prep. by consumer unit, out-of-town trips-LB06-Total husband and wife with children cons. units	          	1988	A01	2013	A01
CXU190904LB0604M              	U	EXPEND	FOODTOTL	190904	LB06	04	M	Food prep. by consumer unit, out-of-town trips-LB06-Husband and wife w/ children, oldest child under 6	          	1984	A01	2013	A01
CXU190904LB0605M              	U	EXPEND	FOODTOTL	190904	LB06	05	M	Food prep. by consumer unit, out-of-town trips-LB06-Husband and wife w/ children, oldest child 6 to 17	          	1984	A01	2013	A01
CXU190904LB0606M              	U	EXPEND	FOODTOTL	190904	LB06	06	M	Food prep. by consumer unit, out-of-town trips-LB06-Husband & wife w/ children, old. child 18 or over	          	1984	A01	2013	A01
CXU190904LB0607M              	U	EXPEND	FOODTOTL	190904	LB06	07	M	Food prep. by consumer unit, out-of-town trips-LB06-Other husband and wife consumer units	          	1984	A01	2013	A01
CXU190904LB0608M              	U	EXPEND	FOODTOTL	190904	LB06	08	M	Food prep. by consumer unit, out-of-town trips-LB06-One parent, at least one child under 18	          	1984	A01	2013	A01
CXU190904LB0609M              	U	EXPEND	FOODTOTL	190904	LB06	09	M	Food prep. by consumer unit, out-of-town trips-LB06-Single person and other consumer units	          	1984	A01	2013	A01
CXU190904LB0701M              	U	EXPEND	FOODTOTL	190904	LB07	01	M	Food prep. by consumer unit, out-of-town trips-LB07-All Consumer Units	          	1984	A01	2013	A01
CXU190904LB0702M              	U	EXPEND	FOODTOTL	190904	LB07	02	M	Food prep. by consumer unit, out-of-town trips-LB07-Single Consumers, no earner	          	1984	A01	2013	A01
CXU190904LB0703M              	U	EXPEND	FOODTOTL	190904	LB07	03	M	Food prep. by consumer unit, out-of-town trips-LB07-Single Consumers, one earner	          	1984	A01	2013	A01
CXU190904LB0704M              	U	EXPEND	FOODTOTL	190904	LB07	04	M	Food prep. by consumer unit, out-of-town trips-LB07-Consumer units of two or more people, no earners	          	1984	A01	2013	A01
CXU190904LB0705M              	U	EXPEND	FOODTOTL	190904	LB07	05	M	Food prep. by consumer unit, out-of-town trips-LB07-CUs of two or more people, one earner	          	1984	A01	2013	A01
