"Category","Demo_Code","Year","All","Midwest","Northeast","South","West"
"Apparel, Girls, 2 to 15","LB11",1999,107,122,95,111,97
"Apparel, Girls, 2 to 15","LB11",2000,118,125,144,113,95
"Apparel, Girls, 2 to 15","LB11",2001,115,124,130,107,104
"Apparel, Girls, 2 to 15","LB11",2002,117,105,142,116,110
"Apparel, Girls, 2 to 15","LB11",2003,106,115,118,89,112
"Apparel, Girls, 2 to 15","LB11",2004,108,114,124,97,104
"Apparel, Girls, 2 to 15","LB11",2005,121,107,126,121,130
"Apparel, Girls, 2 to 15","LB11",2006,122,115,132,125,118
"Apparel, Girls, 2 to 15","LB11",2007,122,117,121,124,123
"Apparel, Girls, 2 to 15","LB11",2008,121,121,139,119,111
"Apparel, Girls, 2 to 15","LB11",2009,118,113,98,129,120
"Apparel, Girls, 2 to 15","LB11",2010,101,92,98,103,110
"Apparel, Girls, 2 to 15","LB11",2011,117,96,137,107,140
"Apparel, Girls, 2 to 15","LB11",2012,116,116,118,120,108
"Apparel, Girls, 2 to 15","LB11",2013,109,115,120,105,104
"Apparel, Men and boys","LB11",1984,350,354,384,322,353
"Apparel, Men and boys","LB11",1985,364,349,367,341,425
"Apparel, Men and boys","LB11",1986,343,348,396,290,370
"Apparel, Men and boys","LB11",1987,361,347,409,327,387
"Apparel, Men and boys","LB11",1988,388,396,422,353,397
"Apparel, Men and boys","LB11",1989,397,365,398,374,476
"Apparel, Men and boys","LB11",1990,393,332,416,380,467
"Apparel, Men and boys","LB11",1991,429,398,411,431,480
"Apparel, Men and boys","LB11",1992,450,461,586,395,385
"Apparel, Men and boys","LB11",1993,426,438,486,369,445
"Apparel, Men and boys","LB11",1994,395,417,439,331,427
"Apparel, Men and boys","LB11",1995,425,418,420,413,457
"Apparel, Men and boys","LB11",1996,423,422,442,414,422
"Apparel, Men and boys","LB11",1997,407,446,432,350,432
"Apparel, Men and boys","LB11",1998,399,414,462,352,399
"Apparel, Men and boys","LB11",1999,421,452,434,351,487
"Apparel, Men and boys","LB11",2000,440,489,484,382,445
"Apparel, Men and boys","LB11",2001,423,429,539,378,389
"Apparel, Men and boys","LB11",2002,409,427,433,363,445
"Apparel, Men and boys","LB11",2003,372,369,426,303,437
"Apparel, Men and boys","LB11",2004,406,407,460,377,406
"Apparel, Men and boys","LB11",2005,440,388,467,421,499
"Apparel, Men and boys","LB11",2006,444,394,479,429,490
"Apparel, Men and boys","LB11",2007,435,379,450,425,498
"Apparel, Men and boys","LB11",2008,427,348,423,427,509
"Apparel, Men and boys","LB11",2009,383,339,412,371,422
"Apparel, Men and boys","LB11",2010,382,329,491,308,466
"Apparel, Men and boys","LB11",2011,404,354,445,392,438
"Apparel, Men and boys","LB11",2012,408,355,455,369,488
"Apparel, Men and boys","LB11",2013,374,313,428,347,435
"Apparel, Women, 16 and over","LB11",1984,444,426,478,449,422
"Apparel, Women, 16 and over","LB11",1985,499,441,509,543,491
"Apparel, Women, 16 and over","LB11",1986,472,455,513,452,483
"Apparel, Women, 16 and over","LB11",1987,510,453,654,481,480
"Apparel, Women, 16 and over","LB11",1988,492,487,552,468,476
"Apparel, Women, 16 and over","LB11",1989,564,571,618,457,675
"Apparel, Women, 16 and over","LB11",1990,586,494,653,579,639
"Apparel, Women, 16 and over","LB11",1991,607,596,701,574,580
"Apparel, Women, 16 and over","LB11",1992,586,580,696,514,598
"Apparel, Women, 16 and over","LB11",1993,566,596,620,511,565
"Apparel, Women, 16 and over","LB11",1994,552,535,682,489,550
"Apparel, Women, 16 and over","LB11",1995,559,605,605,515,533
"Apparel, Women, 16 and over","LB11",1996,607,633,702,527,619
"Apparel, Women, 16 and over","LB11",1997,574,592,624,547,552
"Apparel, Women, 16 and over","LB11",1998,548,528,580,559,523
"Apparel, Women, 16 and over","LB11",1999,548,452,589,517,663
"Apparel, Women, 16 and over","LB11",2000,607,646,705,499,652
"Apparel, Women, 16 and over","LB11",2001,562,579,673,521,516
"Apparel, Women, 16 and over","LB11",2002,587,627,642,521,603
"Apparel, Women, 16 and over","LB11",2003,529,497,592,458,620
"Apparel, Women, 16 and over","LB11",2004,631,547,809,565,673
"Apparel, Women, 16 and over","LB11",2005,633,621,722,617,594
"Apparel, Women, 16 and over","LB11",2006,629,611,680,565,709
"Apparel, Women, 16 and over","LB11",2007,627,703,690,515,677
"Apparel, Women, 16 and over","LB11",2008,597,556,660,595,588
"Apparel, Women, 16 and over","LB11",2009,561,476,564,599,581
"Apparel, Women, 16 and over","LB11",2010,562,512,602,517,652
"Apparel, Women, 16 and over","LB11",2011,604,643,638,541,640
"Apparel, Women, 16 and over","LB11",2012,573,550,555,544,657
"Apparel, Women, 16 and over","LB11",2013,527,522,530,487,597
"Audio and visual equipment and services","LB11",1984,322,288,290,312,422
"Audio and visual equipment and services","LB11",1985,371,314,355,387,442
"Audio and visual equipment and services","LB11",1986,371,343,381,360,417
"Audio and visual equipment and services","LB11",1987,379,374,386,349,426
"Audio and visual equipment and services","LB11",1988,416,412,414,398,450
"Audio and visual equipment and services","LB11",1989,429,404,440,400,495
"Audio and visual equipment and services","LB11",1990,454,433,429,439,528
"Audio and visual equipment and services","LB11",1991,468,474,458,444,510
"Audio and visual equipment and services","LB11",1992,492,475,528,449,546
"Audio and visual equipment and services","LB11",1993,590,484,542,700,585
"Audio and visual equipment and services","LB11",1994,533,531,528,510,578
"Audio and visual equipment and services","LB11",1995,542,572,520,514,571
"Audio and visual equipment and services","LB11",1996,561,532,553,563,596
"Audio and visual equipment and services","LB11",1997,577,560,581,570,605
"Audio and visual equipment and services","LB11",1998,535,513,603,492,565
"Audio and visual equipment and services","LB11",1999,608,596,656,570,640
"Audio and visual equipment and services","LB11",2000,622,665,627,574,648
"Audio and visual equipment and services","LB11",2001,660,680,681,614,693
"Audio and visual equipment and services","LB11",2002,692,688,725,643,747
"Audio and visual equipment and services","LB11",2003,730,738,776,696,736
"Audio and visual equipment and services","LB11",2004,788,768,840,753,818
"Audio and visual equipment and services","LB11",2005,888,839,903,868,959
"Audio and visual equipment and services","LB11",2006,906,830,919,890,1001
"Audio and visual equipment and services","LB11",2007,987,913,1010,971,1068
"Audio and visual equipment and services","LB11",2008,1036,987,1090,1027,1056
"Audio and visual equipment and services","LB11",2009,975,927,1003,993,970
"Audio and visual equipment and services","LB11",2010,954,911,997,964,946
"Audio and visual equipment and services","LB11",2011,977,936,1033,984,959
"Audio and visual equipment and services","LB11",2012,979,904,1096,978,960
"Audio and visual equipment and services","LB11",2013,964,941,1011,946,981
"Beef","LB11",1984,199,197,213,196,193
"Beef","LB11",1985,194,190,200,185,206
"Beef","LB11",1986,189,180,208,175,203
"Beef","LB11",1987,191,186,202,175,214
"Beef","LB11",1988,182,184,189,179,179
"Beef","LB11",1989,202,185,206,193,234
"Beef","LB11",1990,218,197,226,213,241
"Beef","LB11",1991,228,199,234,243,235
"Beef","LB11",1992,210,202,221,209,212
"Beef","LB11",1993,234,222,253,235,228
"Beef","LB11",1994,227,204,238,240,222
"Beef","LB11",1995,228,221,232,233,223
"Beef","LB11",1996,215,205,211,222,218
"Beef","LB11",1997,224,207,214,235,233
"Beef","LB11",1998,218,226,234,207,215
"Beef","LB11",1999,220,209,238,212,229
"Beef","LB11",2000,238,226,248,230,255
"Beef","LB11",2001,248,232,252,257,247
"Beef","LB11",2002,231,209,232,242,237
"Beef","LB11",2003,246,225,239,262,247
"Beef","LB11",2004,265,242,279,263,283
"Beef","LB11",2005,228,220,243,227,222
"Beef","LB11",2006,236,224,218,231,274
"Beef","LB11",2007,216,201,207,219,235
"Beef","LB11",2008,239,223,234,243,252
"Beef","LB11",2009,226,207,230,230,236
"Beef","LB11",2010,217,219,216,194,251
"Beef","LB11",2011,223,219,215,218,241
"Beef","LB11",2012,226,226,218,229,229
"Beef","LB11",2013,219,212,221,224,213
"Cereals and bakery products","LB11",1984,262,274,285,240,260
"Cereals and bakery products","LB11",1985,283,283,310,260,291
"Cereals and bakery products","LB11",1986,275,274,303,241,303
"Cereals and bakery products","LB11",1987,299,284,327,271,333
"Cereals and bakery products","LB11",1988,312,304,341,287,334
"Cereals and bakery products","LB11",1989,359,340,393,328,397
"Cereals and bakery products","LB11",1990,368,347,407,345,392
"Cereals and bakery products","LB11",1991,404,392,435,376,436
"Cereals and bakery products","LB11",1992,411,405,452,382,423
"Cereals and bakery products","LB11",1993,434,410,489,398,470
"Cereals and bakery products","LB11",1994,429,412,481,402,441
"Cereals and bakery products","LB11",1995,441,411,528,404,454
"Cereals and bakery products","LB11",1996,447,445,489,416,459
"Cereals and bakery products","LB11",1997,453,446,504,415,474
"Cereals and bakery products","LB11",1998,425,431,461,386,448
"Cereals and bakery products","LB11",1999,448,428,487,416,485
"Cereals and bakery products","LB11",2000,453,444,491,422,480
"Cereals and bakery products","LB11",2001,452,435,511,431,454
"Cereals and bakery products","LB11",2002,450,435,498,421,469
"Cereals and bakery products","LB11",2003,442,411,485,413,482
"Cereals and bakery products","LB11",2004,461,446,521,427,480
"Cereals and bakery products","LB11",2005,445,454,508,400,456
"Cereals and bakery products","LB11",2006,446,433,477,407,499
"Cereals and bakery products","LB11",2007,460,444,495,438,480
"Cereals and bakery products","LB11",2008,507,483,579,472,528
"Cereals and bakery products","LB11",2009,506,510,563,469,516
"Cereals and bakery products","LB11",2010,502,501,558,454,535
"Cereals and bakery products","LB11",2011,531,545,610,478,538
"Cereals and bakery products","LB11",2012,538,556,586,488,564
"Cereals and bakery products","LB11",2013,544,584,604,492,544
"Dairy products","LB11",1984,253,244,277,226,287
"Dairy products","LB11",1985,266,247,311,237,293
"Dairy products","LB11",1986,251,241,280,218,287
"Dairy products","LB11",1987,274,260,289,248,322
"Dairy products","LB11",1988,274,268,277,264,296
"Dairy products","LB11",1989,304,292,316,276,352
"Dairy products","LB11",1990,295,280,313,271,337
"Dairy products","LB11",1991,294,281,302,274,335
"Dairy products","LB11",1992,302,302,332,270,321
"Dairy products","LB11",1993,295,283,331,265,325
"Dairy products","LB11",1994,289,269,319,271,313
"Dairy products","LB11",1995,297,279,328,270,331
"Dairy products","LB11",1996,312,321,342,275,333
"Dairy products","LB11",1997,314,308,327,290,345
"Dairy products","LB11",1998,301,301,324,273,327
"Dairy products","LB11",1999,322,307,361,290,355
"Dairy products","LB11",2000,325,330,354,286,356
"Dairy products","LB11",2001,332,328,375,301,348
"Dairy products","LB11",2002,328,320,348,300,365
"Dairy products","LB11",2003,328,323,353,298,359
"Dairy products","LB11",2004,371,358,417,329,411
"Dairy products","LB11",2005,378,391,424,332,401
"Dairy products","LB11",2006,368,365,380,328,429
"Dairy products","LB11",2007,387,375,400,366,422
"Dairy products","LB11",2008,430,421,461,392,473
"Dairy products","LB11",2009,406,419,435,367,432
"Dairy products","LB11",2010,380,386,432,341,397
"Dairy products","LB11",2011,407,409,444,356,458
"Dairy products","LB11",2012,419,421,448,383,452
"Dairy products","LB11",2013,414,436,462,352,458
"Education","LB11",1984,303,312,385,239,311
"Education","LB11",1985,321,299,408,266,349
"Education","LB11",1986,314,350,409,237,299
"Education","LB11",1987,337,367,488,254,281
"Education","LB11",1988,342,337,433,316,297
"Education","LB11",1989,367,378,440,312,367
"Education","LB11",1990,406,394,593,319,375
"Education","LB11",1991,447,415,605,385,426
"Education","LB11",1992,426,432,509,369,427
"Education","LB11",1993,455,446,533,412,460
"Education","LB11",1994,460,451,504,404,517
"Education","LB11",1995,471,492,577,436,403
"Education","LB11",1996,524,536,622,450,541
"Education","LB11",1997,571,512,772,449,647
"Education","LB11",1998,580,598,815,409,622
"Education","LB11",1999,635,568,939,452,728
"Education","LB11",2000,632,667,823,477,674
"Education","LB11",2001,648,689,729,483,798
"Education","LB11",2002,752,718,1062,487,947
"Education","LB11",2003,783,796,1040,581,875
"Education","LB11",2004,905,928,1152,631,1115
"Education","LB11",2005,940,998,1387,674,926
"Education","LB11",2006,888,951,1080,707,948
"Education","LB11",2007,945,1187,1163,744,842
"Education","LB11",2008,1046,1029,1585,797,1019
"Education","LB11",2009,1068,1103,1710,820,902
"Education","LB11",2010,1074,1153,1618,697,1167
"Education","LB11",2011,1051,1095,1620,680,1145
"Education","LB11",2012,1207,1180,1789,851,1358
"Education","LB11",2013,1138,1207,1870,728,1159
"Eggs","LB11",1984,35,32,38,36,37
"Eggs","LB11",1985,30,27,33,30,31
"Eggs","LB11",1986,30,25,35,28,34
"Eggs","LB11",1987,28,23,30,28,34
"Eggs","LB11",1988,28,22,29,28,32
"Eggs","LB11",1989,33,27,33,33,41
"Eggs","LB11",1990,30,24,33,29,35
"Eggs","LB11",1991,31,25,31,31,38
"Eggs","LB11",1992,28,22,28,30,31
"Eggs","LB11",1993,30,25,31,31,34
"Eggs","LB11",1994,30,25,29,31,36
"Eggs","LB11",1995,30,24,36,29,34
"Eggs","LB11",1996,34,29,33,33,41
"Eggs","LB11",1997,33,25,36,31,41
"Eggs","LB11",1998,32,27,33,32,38
"Eggs","LB11",1999,32,24,36,31,41
"Eggs","LB11",2000,34,28,35,36,38
"Eggs","LB11",2001,35,28,37,35,41
"Eggs","LB11",2002,34,26,35,33,42
"Eggs","LB11",2003,37,31,38,36,45
"Eggs","LB11",2004,42,32,47,40,51
"Eggs","LB11",2005,33,26,37,30,40
"Eggs","LB11",2006,37,29,37,33,50
"Eggs","LB11",2007,43,33,45,42,51
"Eggs","LB11",2008,51,44,51,49,62
"Eggs","LB11",2009,44,37,46,43,50
"Eggs","LB11",2010,46,40,51,42,56
"Eggs","LB11",2011,50,47,52,48,56
"Eggs","LB11",2012,53,50,55,50,60
"Eggs","LB11",2013,56,54,57,56,59
"Entertainment: fees and admissions","LB11",1984,313,307,331,254,407
"Entertainment: fees and admissions","LB11",1985,320,321,350,256,398
"Entertainment: fees and admissions","LB11",1986,308,295,339,266,362
"Entertainment: fees and admissions","LB11",1987,323,311,345,265,411
"Entertainment: fees and admissions","LB11",1988,353,348,385,290,431
"Entertainment: fees and admissions","LB11",1989,377,347,426,319,459
"Entertainment: fees and admissions","LB11",1990,371,347,398,306,482
"Entertainment: fees and admissions","LB11",1991,378,348,417,328,456
"Entertainment: fees and admissions","LB11",1992,379,356,429,328,439
"Entertainment: fees and admissions","LB11",1993,414,365,439,372,519
"Entertainment: fees and admissions","LB11",1994,439,404,500,383,514
"Entertainment: fees and admissions","LB11",1995,433,418,429,373,552
"Entertainment: fees and admissions","LB11",1996,459,450,512,406,507
"Entertainment: fees and admissions","LB11",1997,471,468,528,358,604
"Entertainment: fees and admissions","LB11",1998,449,427,516,365,545
"Entertainment: fees and admissions","LB11",1999,459,462,505,377,544
"Entertainment: fees and admissions","LB11",2000,515,566,577,395,595
"Entertainment: fees and admissions","LB11",2001,526,587,561,410,620
"Entertainment: fees and admissions","LB11",2002,542,538,657,419,644
"Entertainment: fees and admissions","LB11",2003,494,489,614,365,606
"Entertainment: fees and admissions","LB11",2004,528,586,545,398,664
"Entertainment: fees and admissions","LB11",2005,588,614,615,451,760
"Entertainment: fees and admissions","LB11",2006,606,599,662,442,829
"Entertainment: fees and admissions","LB11",2007,658,630,803,476,857
"Entertainment: fees and admissions","LB11",2008,616,592,724,507,726
"Entertainment: fees and admissions","LB11",2009,628,573,780,508,751
"Entertainment: fees and admissions","LB11",2010,581,574,666,477,690
"Entertainment: fees and admissions","LB11",2011,594,583,710,443,757
"Entertainment: fees and admissions","LB11",2012,614,660,724,436,776
"Entertainment: fees and admissions","LB11",2013,569,546,753,401,724
"Entertainment: other supplies, equip., & services","LB11",1984,230,216,183,233,300
"Entertainment: other supplies, equip., & services","LB11",1985,266,302,179,238,364
"Entertainment: other supplies, equip., & services","LB11",1986,268,217,290,256,330
"Entertainment: other supplies, equip., & services","LB11",1987,273,244,202,272,382
"Entertainment: other supplies, equip., & services","LB11",1988,330,280,196,345,505
"Entertainment: other supplies, equip., & services","LB11",1989,369,268,449,350,443
"Entertainment: other supplies, equip., & services","LB11",1990,321,306,235,250,543
"Entertainment: other supplies, equip., & services","LB11",1991,356,355,328,270,527
"Entertainment: other supplies, equip., & services","LB11",1992,355,293,281,236,702
"Entertainment: other supplies, equip., & services","LB11",1993,328,293,300,274,488
"Entertainment: other supplies, equip., & services","LB11",1994,306,340,198,250,459
"Entertainment: other supplies, equip., & services","LB11",1995,315,295,290,264,449
"Entertainment: other supplies, equip., & services","LB11",1996,479,532,374,505,471
"Entertainment: other supplies, equip., & services","LB11",1997,439,561,340,334,565
"Entertainment: other supplies, equip., & services","LB11",1998,433,533,325,370,520
"Entertainment: other supplies, equip., & services","LB11",1999,478,636,345,303,704
"Entertainment: other supplies, equip., & services","LB11",2000,393,449,395,335,423
"Entertainment: other supplies, equip., & services","LB11",2001,430,585,286,324,560
"Entertainment: other supplies, equip., & services","LB11",2002,476,514,542,302,660
"Entertainment: other supplies, equip., & services","LB11",2003,457,373,279,444,718
"Entertainment: other supplies, equip., & services","LB11",2004,522,481,272,619,622
"Entertainment: other supplies, equip., & services","LB11",2005,492,520,352,397,741
"Entertainment: other supplies, equip., & services","LB11",2006,451,444,356,377,658
"Entertainment: other supplies, equip., & services","LB11",2007,493,519,417,357,744
"Entertainment: other supplies, equip., & services","LB11",2008,479,580,436,346,628
"Entertainment: other supplies, equip., & services","LB11",2009,400,478,302,315,540
"Entertainment: other supplies, equip., & services","LB11",2010,364,478,387,296,344
"Entertainment: other supplies, equip., & services","LB11",2011,370,374,349,261,563
"Entertainment: other supplies, equip., & services","LB11",2012,363,340,274,368,452
"Entertainment: other supplies, equip., & services","LB11",2013,353,409,310,233,534
"Fats and oils","LB11",1984,56,56,50,55,61
"Fats and oils","LB11",1985,58,58,56,58,61
"Fats and oils","LB11",1986,51,50,47,52,57
"Fats and oils","LB11",1987,51,50,44,50,59
"Fats and oils","LB11",1988,55,52,50,55,62
"Fats and oils","LB11",1989,59,55,51,59,71
"Fats and oils","LB11",1990,68,65,61,72,73
"Fats and oils","LB11",1991,72,67,68,70,83
"Fats and oils","LB11",1992,72,66,76,72,77
"Fats and oils","LB11",1993,78,73,80,78,82
"Fats and oils","LB11",1994,79,67,82,83,86
"Fats and oils","LB11",1995,82,76,87,79,91
"Fats and oils","LB11",1996,83,80,89,81,84
"Fats and oils","LB11",1997,81,73,85,81,86
"Fats and oils","LB11",1998,77,75,77,75,82
"Fats and oils","LB11",1999,84,75,84,83,94
"Fats and oils","LB11",2000,83,75,89,82,87
"Fats and oils","LB11",2001,87,78,92,90,86
"Fats and oils","LB11",2002,85,80,93,83,88
"Fats and oils","LB11",2003,86,79,89,85,91
"Fats and oils","LB11",2004,89,83,93,84,100
"Fats and oils","LB11",2005,85,83,93,79,90
"Fats and oils","LB11",2006,86,81,86,80,100
"Fats and oils","LB11",2007,91,87,93,90,97
"Fats and oils","LB11",2008,104,98,114,99,113
"Fats and oils","LB11",2009,102,105,109,98,101
"Fats and oils","LB11",2010,103,103,115,96,102
"Fats and oils","LB11",2011,110,111,113,102,117
"Fats and oils","LB11",2012,114,117,114,106,124
"Fats and oils","LB11",2013,117,129,119,105,124
"Floor coverings","LB11",1984,78,79,38,116,54
"Floor coverings","LB11",1985,70,88,60,69,57
"Floor coverings","LB11",1986,55,91,48,34,54
"Floor coverings","LB11",1987,69,90,93,37,69
"Floor coverings","LB11",1988,65,83,64,54,63
"Floor coverings","LB11",1989,70,73,87,67,53
"Floor coverings","LB11",1990,92,105,158,48,79
"Floor coverings","LB11",1991,115,217,67,93,74
"Floor coverings","LB11",1992,71,64,44,96,65
"Floor coverings","LB11",1993,87,149,88,48,79
"Floor coverings","LB11",1994,120,119,151,74,165
"Floor coverings","LB11",1995,177,221,54,50,450
"Floor coverings","LB11",1996,101,91,81,77,167
"Floor coverings","LB11",1997,78,85,102,63,72
"Floor coverings","LB11",1998,144,233,157,103,101
"Floor coverings","LB11",1999,44,47,44,40,46
"Floor coverings","LB11",2000,44,54,47,41,37
"Floor coverings","LB11",2001,40,31,45,30,64
"Floor coverings","LB11",2002,40,45,48,37,34
"Floor coverings","LB11",2003,52,44,66,38,71
"Floor coverings","LB11",2004,52,57,44,35,81
"Floor coverings","LB11",2005,56,56,58,56,55
"Floor coverings","LB11",2006,48,43,71,39,45
"Floor coverings","LB11",2007,46,44,69,36,47
"Floor coverings","LB11",2008,45,58,49,35,43
"Floor coverings","LB11",2009,30,39,30,30,22
"Floor coverings","LB11",2010,36,27,45,38,35
"Floor coverings","LB11",2011,20,24,41,12,12
"Floor coverings","LB11",2012,16,22,17,11,19
"Floor coverings","LB11",2013,20,23,20,16,24
"Food at home","LB11",1984,1970,1962,2089,1831,2090
"Food at home","LB11",1985,2037,1963,2213,1908,2158
"Food at home","LB11",1986,1993,1898,2189,1812,2203
"Food at home","LB11",1987,2099,1975,2206,1957,2379
"Food at home","LB11",1988,2136,2084,2212,2039,2282
"Food at home","LB11",1989,2390,2240,2450,2245,2753
"Food at home","LB11",1990,2485,2313,2599,2381,2749
"Food at home","LB11",1991,2651,2456,2673,2589,2974
"Food at home","LB11",1992,2643,2555,2838,2478,2819
