demographics_code	characteristics_code	characteristics_text	display_level	selectable	sort_sequence
LB07	04	Consumer units of two or more people, no earners	0	T	7040	
LB07	05	CUs of two or more people, one earner	0	T	7050	
LB07	06	CUs of two or more people, two earners	0	T	7060	
LB07	07	CUs of two or more people, three or more earners	0	T	7070	
LB08	01	All Consumer Units	0	T	8010	
LB08	02	Housing tenure: home owner	0	T	8020	
LB08	03	Housing tenure: homeowner with mortgage(from 2003)	1	T	8030	
LB08	04	Housing tenure: homeowner w/o mortgage(from 2003)	1	T	8040	
LB08	05	Housing tenure: renter	0	T	8050	
LB08	06	Type of area: urban	0	T	8060	
LB08	07	Type of area: urban: central city(from 2003)	1	T	8070	
LB08	08	Type of area: urban: other urban(from 2003)	1	T	8080	
LB08	09	Type of area: rural	0	T	8090	
LB09	01	All Consumer Units	0	T	9010	
LB09	02	Race of ref. person: White, Asian, and All Others	0	T	9020	
LB09	03	Race of rf. pers.: White and All Others(from 2003)	1	T	9030	
LB09	04	Race of reference person: Asian(from 2003)	1	T	9040	
LB09	05	Race of ref. person: Black or African American	0	T	9050	
LB10	01	All Consumer Units	0	T	10010	
LB10	02	Origin of reference person: Hispanic or Latino	0	T	10020	
LB10	03	Origin of reference person: Not Hispanic or Latino	0	T	10030	
LB10	04	Not Hispanic or Latino: White and All Other Races	1	T	10040	
LB10	05	Not Hispanic or Latino: Black or African-American	1	T	10050	
LB11	01	All Consumer Units	0	T	11010	
LB11	02	Region of residence: northeast	0	T	11020	
LB11	03	Region of residence: midwest	0	T	11030	
LB11	04	Region of residence: south	0	T	11040	
LB11	05	Region of residence: west	0	T	11050	
LB12	01	Self-employed workers	0	T	12010	
LB12	02	Total wage and salary earners	0	T	12020	
LB12	03	Wage & salary earners: managers and professionals	1	T	12030	
LB12	04	Wage & salary: tech., sales, and clerical workers	1	T	12040	
LB12	05	Wage & salary earners: service workers	1	T	12050	
LB12	06	Wage & salary: construction workers & mechanics	1	T	12060	
LB12	07	Wage & salary: Operators, fabricators & laborers	1	T	12070	
LB12	08	Retired	0	T	12080	
LB12	09	Occupation: all other, including not reporting	0	T	12090	
LB13	01	All Consumer Units	0	T	13010	
LB13	02	Total, less than college graduate	0	T	13020	
LB13	03	Less than high school graduate	1	T	13030	
LB13	04	High school graduate	1	T	13040	
LB13	05	High school graduate with some college	1	T	13050	
LB13	06	Associate degree	1	T	13060	
LB13	07	Total, college graduate	0	T	13070	
LB13	08	Bachelor's degree	1	T	13080	
LB13	09	Master's, professional, doctorate	1	T	13090	
LB14	01	All Consumer Units	0	T	14010	
LB14	02	Less than college graduate: Total	1	T	14020	
LB14	03	Less than college graduate: Less than high school graduate	1	T	14030	
LB14	04	Less than college graduate: High school graduate	1	T	14040	
LB14	05	Less than college graduate: High schoo graduate with some college	1	T	14050	
LB14	06	Less than college graduate: Associate's degree	1	T	14060	
LB14	07	College graduate: Total	1	T	14070	
LB14	08	College graduate: Bachelor's degree	1	T	14080	
LB14	09	College graduate: Master's, professional, doctoral degree	1	T	14090	
